"OpenAI","davinci-002","2713.77392","305.48334","100.00","gpt-4o","2718.31911","478.81628","100.00","16.463","6/24/2024, 3:11:52 PM"
"AI21 Studio","jamba-instruct","2403.58909","253.88579","100.00","jamba-instruct","2343.35187","357.79561","100.00","18.499","6/24/2024, 3:11:52 PM"
"Anthropic","claude-3-haiku-20240307","1534.90958","167.90040","100.00","claude-3-opus-20240229","2783.03174","398.56675","100.00","16.893","6/24/2024, 3:11:52 PM"
"Cloudflare AI","@cf/tinyllama/tinyllama-1.1b-chat-v1.0","10188.78323","375.58610","100.00","@hf/thebloke/llama-2-13b-chat-awq","10521.85412","603.00021","100.00","19.812","6/24/2024, 3:11:52 PM"
"Cohere","command-light","1668.84502","61.12293","100.00","command-r-plus","3063.92893","554.37237","100.00","16.572","6/24/2024, 3:11:52 PM"
"Fireworks AI","accounts/fireworks/models/phi-3-mini-128k-instruct","802.07807","186.15089","100.00","accounts/fireworks/models/llama-v3-70b-instruct","2139.55369","1183.90016","100.00","18.135","6/24/2024, 3:11:52 PM"
"Google Gemini","gemini-1.5-flash","1660.02875","154.03243","100.00","gemini-1.5-pro","1667.22498","134.02504","100.00","17.044","6/24/2024, 3:11:52 PM"
"Goose AI","gpt-neo-125m","13673.52706","216.09129","100.00","gpt-neo-20b","13592.48595","43.42816","100.00","18.573","6/24/2024, 3:11:52 PM"
"Groq","gemma-7b-it","269.84073","100.26050","100.00","llama3-70b-8192","240.47736","57.70902","100.00","20.364","6/24/2024, 3:11:52 PM"
"Hugging Face","microsoft/Phi-3-mini-4k-instruct","117.05225","92.73302","100.00","meta-llama/Meta-Llama-3-8B-Instruct","87.00683","2.05115","100.00","17.564","6/24/2024, 3:11:52 PM"
"Mistral AI","mistral-small-latest","3509.56458","164.05117","100.00","mistral-large-latest","3765.70133","789.96834","100.00","17.733","6/24/2024, 3:11:52 PM"
"Perplexity","llama-3-sonar-small-32k-online","3182.19596","182.79135","100.00","llama-3-sonar-large-32k-online","3238.21272","251.58798","100.00","18.632","6/24/2024, 3:11:52 PM"
"Reka AI","reka-edge","8008.07662","200.71420","100.00","reka-core","7886.81147","70.11291","100.00","19.411","6/24/2024, 3:11:52 PM"
